Unnamed: 0,amd,service 2+,avd,morning conference,service 1+,service 2,observe,ems,service 1
2023-03-01, ,PU,CC,BC,CC,BC,BK,BC,BT
2023-03-02, ,CC,BT,CC,BW,KL,BK,BC,NM
2023-03-03, ,PU,BC,KS,BT,NM,BK,BC,CC
2023-03-04, , ,NM, , , , , , 
2023-03-05, , ,NM, , , , , , 
2023-03-06, , ,BW, , , , , , 
2023-03-07, ,KL,PU,KL,CC,PL,KS,BT,BW
2023-03-08, ,BW,PL,BW,PT,BC,KS,BT,CC
2023-03-09, ,PT,PU, ,PL,CC,KS,BT,BW
2023-03-10, ,CC,PT, ,BC,PU,KS,BT,KL
2023-03-11, , ,PT, , , , , , 
2023-03-12, , ,KS, , , , , , 
2023-03-13, ,BK,KL, ,BT,CC,PL,NM,PU
2023-03-14, ,KS,BK, ,BT,BW,PL,NM,PU
2023-03-15, ,BT,BC, ,BC,BW,PL,NM,PL
2023-03-16,BC,BT,KL,BC,PL,KS,PL,NM,PT
2023-03-17,PT,KS,KL,BK,PL,BK,PL,NM,BC
2023-03-18,BW, ,PL, , , , , , 
2023-03-19,BT, ,PL, , , , , , 
2023-03-20,KL,PT,NM,PU,NM,BT,BW,PT,KL
2023-03-21,PU,BW,PU,NM,KL,BT,BW,PT,PL
2023-03-22,KS,NM,BK,BW,BK,PL,BW,PT,KS
2023-03-23,KL,PL,KS,PT,KL,PU,BW,PT,BK
2023-03-24,CC,KL,KS,KL,CC,PT,BW,PT,BK
2023-03-25,NM, ,BC, , , , , , 
2023-03-26,PL, ,BW, , , , , , 
2023-03-27,KS,BC,BW,PL,PU,NM,PU,PL,KS
2023-03-28,NM,BC,PT,BK,KS,BK,PU,PL,BT
2023-03-29,BK,PL,CC,BT,BC,KS,PU,PL,PT
2023-03-30,BC,BK,BT,PT,KS,PT,PU,PL,NM
2023-03-31,PT,NM,BT,CC,KS,KL,PU,PL,BC
